-10	 Infinity
-9.9	 1.2371625424813657 + 1.647330151124036*I
-9.8	 1.212132635341637 + 1.6856439707877102*I
-9.7	 1.1961127292318054 + 1.7176780546740142*I
-9.6	 1.1845052524847648 + 1.747885751791987*I
-9.5	 1.1758907803895726 + 1.7783111454215796*I
-9.4	 1.1698532232671357 + 1.8105931757608509*I
-9.3	 1.166633661795958 + 1.8467579192814774*I
-9.2	 1.167460321803355 + 1.8903900715348547*I
-9.1	 1.1767531122816306 + 1.951063060606666*I
-9.	 Indeterminate
-8.9	 0.9804663651511852 + 2.143771977975667*I
-8.8	 0.9073161792007856 + 2.131744145286743*I
-8.7	 0.8502683247588095 + 2.1276064312620924*I
-8.6	 0.7990814743053405 + 2.1277537013722885*I
-8.5	 0.7495453269735014 + 2.131366683183216*I
-8.4	 0.6987394913442733 + 2.138634938645565*I
-8.3	 0.6434777629090479 + 2.150671984621566*I
-8.2	 0.5784809333759181 + 2.170389808557303*I
-8.1	 0.4898651423230686 + 2.2069617419082124*I
-8.	 Indeterminate
-7.8999999999999995	 0.1672107418444701 + 1.9660052217231276*I
-7.8	 0.17451850850234824 + 1.8674161467502866*I
-7.7	 0.17289974445853937 + 1.7945261340422214*I
-7.6	 0.1666960076360924 + 1.7319895970702495*I
-7.5	 0.1568779399670834 + 1.673927779412104*I
-7.3999999999999995	 0.1433062114485654 + 1.616747248879641*I
-7.3	 0.12493377664177298 + 1.5570861725369551*I
-7.2	 0.09907584608777162 + 1.489985729289367*I
-7.1	 0.05762669999259469 + 1.4031307315026957*I
-7.	 Indeterminate
-6.8999999999999995	 0.23195148428358325 + 1.0986674704734511*I
-6.8	 0.3079871499651663 + 1.0857504646624887*I
-6.7	 0.3620203021048232 + 1.0676124529848736*I
-6.6	 0.4061931425473717 + 1.0464126477881963*I
-6.5	 0.4449279221447663 + 1.0222418872405763*I
-6.3999999999999995	 0.48054207574083463 + 0.9944104234201434*I
-6.3	 0.514646442501657 + 0.9613724481147861*I
-6.2	 0.5488615449746447 + 0.9197709756171636*I
-6.1	 0.5861232232410004 + 0.8600144457630887*I
-6.	 Indeterminate
-5.8999999999999995	 0.8500181136431826 + 0.8103933363863044*I
-5.8	 0.9036313663538541 + 0.8461932475542842*I
-5.7	 0.9490869414400458 + 0.8666232147023363*I
-5.6	 0.9916202887434229 + 0.8790921106108032*I
-5.5	 1.033590185009851 + 0.885822945650677*I
-5.3999999999999995	 1.0767403359372512 + 0.8873570577603891*I
-5.3	 1.123012843458861 + 0.8831000979512023*I
-5.199999999999999	 1.175559152121577 + 0.870762456102794*I
-5.1	 1.2422822659316508 + 0.8428274841972324*I
-5.	 Indeterminate
-4.8999999999999995	 1.525546397474955 + 0.9601038282211425*I
-4.8	 1.5580935940827354 + 1.035432618023082*I
-4.699999999999999	 1.5926738461534184 + 1.091238269789194*I
-4.6	 1.6305531941936295 + 1.1380237917407525*I
-4.5	 1.6732004636760518 + 1.1794357183908228*I
-4.3999999999999995	 1.722707588048522 + 1.2170773395332126*I
-4.3	 1.7825572950086774 + 1.2514918890501037*I
-4.199999999999999	 1.8597107931187051 + 1.2820576067705562*I
-4.1	 1.9733732597845353 + 1.3047803919840997*I
-3.9999999999999996	 2.8585464610133244 + 0.9738391563247357*I
-3.8999999999999995	 2.264623284347787 + 1.7776041700921437*I
-3.8	 2.218246794561712 + 1.9365727108988262*I
-3.6999999999999997	 2.1936514809140872 + 2.069932615109624*I
-3.5999999999999996	 2.1819265342587544 + 2.1969013927078076*I
-3.4999999999999996	 2.181518957711551 + 2.3263823243051296*I
-3.3999999999999995	 2.194100219477336 + 2.4656787425476856*I
-3.3	 2.2250827519789245 + 2.6239372884102528*I
-3.1999999999999997	 2.2881481800473993 + 2.8171886799187766*I
-3.0999999999999996	 2.427397411432168 + 3.0867311481590893*I
-2.9999999999999996	 5.662281479813814 + 4.532360141827194*I
-2.8999999999999995	 1.5964074072126575 + 4.532360141827194*I
-2.8	 1.0538928342311105 + 4.532360141827194*I
-2.6999999999999997	 0.6203606197689365 + 4.532360141827194*I
-2.5999999999999996	 0.2178128341656793 + 4.532360141827194*I
-2.4999999999999996	 -0.189240812125633 + 4.532360141827194*I
-2.3999999999999995	 -0.6307691967360366 + 4.532360141827194*I
-2.2999999999999994	 -1.1475465830735412 + 4.532360141827194*I
-2.1999999999999997	 -1.8204334132948754 + 4.532360141827194*I
-2.0999999999999996	 -2.8971945243464505 + 4.532360141827194*I
-2	 -Infinity
-1.9999999999999996	 -50.64266704779861
-1.999237434639714	 -10
-1.9984743603533157	 -9
-1.9969466849333517	 -8
-1.9938852262912503	 -7
-1.99	 -6.2928001686619695
-1.987737875513722	 -6
-1.98	 -5.298997149241835
-1.9753454380372382	 -5
-1.97	 -4.720152788401954
-1.96	 -4.311155622091835
-1.9501698636312412	 -4
-1.95	 -3.995191091390765
-1.94	 -3.73804452036812
-1.93	 -3.5214652424610424
-1.92	 -3.3345596507904594
-1.91	 -3.170301506862252
-1.9	 -3.0238936629616378
-1.898261981695802	 -3
-1.89	 -2.891914792414146
-1.88	 -2.7718389683224895
-1.87	 -2.6617482031745197
-1.86	 -2.5601518226810858
-1.85	 -2.465868307130439
-1.84	 -2.3779453446041288
-1.83	 -2.2956041636587323
-1.82	 -2.2181998016041784
-1.81	 -2.1451921294072247
-1.8	 -2.0761243174171304
-1.79	 -2.010606560538435
-1.7883320959164573	 -2
-1.78	 -1.9483035929318497
-1.77	 -1.8889249803541328
-1.76	 -1.8322174800928936
-1.75	 -1.7779589615872382
-1.74	 -1.725953520142236
-1.73	 -1.6760275133516775
-1.72	 -1.6280263187382862
-1.71	 -1.581811660655645
-1.7	 -1.537259390584433
-1.69	 -1.4942576315693665
-1.68	 -1.4527052173920805
-1.67	 -1.4125103720342749
-1.66	 -1.3735895863694707
-1.65	 -1.3358666577641602
-1.64	 -1.2992718650401152
-1.63	 -1.2637412565356347
-1.6199999999999999	 -1.2292160331612094
-1.61	 -1.1956420116383262
-1.6	 -1.162969155736103
-1.59	 -1.1311511654274156
-1.58	 -1.1001451155868
-1.57	 -1.0699111372328052
-1.56	 -1.0404121354438713
-1.55	 -1.0116135390006484
-1.5458996454828977	 -1
-1.54	 -0.9834830775689877
-1.53	 -0.9559905828681827
-1.52	 -0.9291078107931259
-1.51	 -0.9028082818967004
-1.5	 -0.8770671380056163
-1.49	 -0.8518610130516401
-1.48	 -0.8271679164609594
-1.47	 -0.8029671276654345
-1.46	 -0.7792391004874757
-1.45	 -0.7559653763106449
-1.44	 -0.7331285050853287
-1.43	 -0.7107119733366508
-1.42	 -0.6887001384431927
-1.41	 -0.667078168542644
-1.4	 -0.6458319874962799
-1.39	 -0.6249482244098945
-1.38	 -0.604414167266025
-1.3699999999999999	 -0.5842177202721779
-1.3599999999999999	 -0.5643473645733343
-1.35	 -0.5447921220152167
-1.34	 -0.5255415216782862
-1.33	 -0.5065855689319483
-1.32	 -0.48791471678440534
-1.31	 -0.4695198393265598
-1.3	 -0.4513922070886769
-1.29	 -0.4335234641465089
-1.28	 -0.4159056068295785
-1.27	 -0.3985309638985342
-1.26	 -0.38139217807115644
-1.25	 -0.3644821887879534
-1.24	 -0.34779421611824396
-1.23	 -0.3313217457169427
-1.22	 -0.3150585147500939
-1.21	 -0.2989984987146755
-1.2	 -0.28313589908467685
-1.19	 -0.26746513172137115
-1.18	 -0.2519808159910177
-1.17	 -0.2366777645380361
-1.16	 -0.22155097366603554
-1.15	 -0.20659561428300854
-1.14	 -0.1918070233705624
-1.13	 -0.17718069594028785
-1.1199999999999999	 -0.16271227744329697
-1.1099999999999999	 -0.14839755660162748
-1.1	 -0.13423245863263902
-1.09	 -0.12021303883972542
-1.08	 -0.10633547654469926
-1.07	 -0.09259606933901983
-1.06	 -0.07899122763273181
-1.05	 -0.06551746948150007
-1.04	 -0.05217141567356814
-1.03	 -0.03894978505962382
-1.02	 -0.02584939010998301
-1.01	 -0.012867132684277718
-1	 0
-1.	 0
-1.	 0
-1.	 0.
-0.999	 0.001280494947642376
-0.998	 0.002559870912335733
-0.997	 0.0038381307738743963
-0.996	 0.0051152774042938385
-0.995	 0.006391313667882256
-0.994	 0.007666242421192338
-0.993	 0.008940066513053242
-0.992	 0.010212788784582755
-0.991	 0.011484412069199628
-0.99	 0.012754939192636124
-0.989	 0.01402437297295072
-0.988	 0.015292716220540997
-0.987	 0.016559971738156692
-0.986	 0.017826142320912935
-0.985	 0.019091230756303628
-0.984	 0.020355239824215
-0.983	 0.021618172296939332
-0.982	 0.022880030939188806
-0.981	 0.024140818508109507
-0.98	 0.025400537753295625
-0.979	 0.026659191416803698
-0.978	 0.027916782233167126
-0.977	 0.02917331292941071
-0.976	 0.03042878622506538
-0.975	 0.031683204832183044
-0.974	 0.03293657145535156
-0.973	 0.034188888791709865
-0.972	 0.03544015953096313
-0.971	 0.03669038635539819
-0.97	 0.03793957193989893
-0.969	 0.03918771895196189
-0.968	 0.04043483005171194
-0.967	 0.04168090789191807
-0.966	 0.042925955118009305
-0.965	 0.044169974368090635
-0.964	 0.04541296827295917
-0.963	 0.046654939456120315
-0.962	 0.047895890533804074
-0.961	 0.0491358241149814
-0.96	 0.05037474280138066
-0.959	 0.05161264918750423
-0.958	 0.05284954586064508
-0.957	 0.05408543540090354
-0.956	 0.055320320381204074
-0.955	 0.05655420336731219
-0.954	 0.05778708691785133
