# x^^y == y
# x^^^Infinity == y
# x == HyperRoot[5][Infinity][y]
# x == SuperRoot[y][y]
# SuperLog[x][y] == y
0x1,0x0,0x1,0x0, exact
0x1.00p+1,0x0,0x1.8f42a1b8d70fbp+0,0x0, exact equals ln(2)/W(ln(2))
0x1.80p+1,0x0,0x1.a29480bef4f0bp+0,0x0, exact
0x1.8b5506860674bp+1,0,0x1.a2a4a04fbd61bp+0,0, inexact (e4^^eta4 == eta4) see also selfsuperroot.xhtml
0x1.00p+2,0x0,0x1.9ed090d14a562p+0,0x0, exact 
0x1.40p+2,0x0,0x1.97e9a3ddfef15p+0,0x0, exact
0x1.80p+2,0x0,0x1.9192a84c8ab5dp+0,0x0, exact
0x1.c0p+2,0x0,0x1.8c5c78653a7b2p+0,0x0, exact
0x1.00p+3,0x0,0x1.88303eb2f8320p+0,0x0, exact
0x1.20p+3,0x0,0x1.84dadefd75797p+0,0x0, exact
0x1.40p+3,0x0,0x1.822ceb719956dp+0,0x0, exact
0x1.60p+3,0x0,0x1.80007904cc6c9p+0,0x0, exact
0x1.80p+3,0x0,0x1.7e388a568537bp+0,0x0, exact
0x1.a0p+3,0x0,0x1.7cbf3ade230c4p+0,0x0, exact
0x1.c0p+3,0x0,0x1.7b8400312d44ep+0,0x0, exact
0x1.e0p+3,0x0,0x1.7a7a47c9357efp+0,0x0, exact
0x1.00p+4,0x0,0x1.79986e87de37bp+0,0x0, exact
0x1.10p+4,0x0,0x1.78d6ff64c99cbp+0,0x0, exact
0x1.20p+4,0x0,0x1.783026dcb8b78p+0,0x0, exact
0x1.30p+4,0x0,0x1.779f4c813785dp+0,0x0, exact
0x1.40p+4,0x0,0x1.7720c7dedb548p+0,0x0, exact
0x1.50p+4,0x0,0x1.76b1a8ffc601dp+0,0x0, exact
0x1.60p+4,0x0,0x1.764f8f1036df3p+0,0x0, exact
0x1.70p+4,0x0,0x1.75f88944a10a3p+0,0x0, exact
0x1.80p+4,0x0,0x1.75aaff4059b54p+0,0x0, exact
0x1.90p+4,0x0,0x1.75659f0538687p+0,0x0, exact
0x1.a0p+4,0x0,0x1.75274f01ad86cp+0,0x0, exact
0x1.b0p+4,0x0,0x1.74ef233653a03p+0,0x0, exact
0x1.c0p+4,0x0,0x1.74bc54b2994d6p+0,0x0, exact
0x1.d0p+4,0x0,0x1.748e3ada98deap+0,0x0, exact
0x1.e0p+4,0x0,0x1.7464460c8fd4bp+0,0x0, exact
0x1.f0p+4,0x0,0x1.743dfb56d147dp+0,0x0, exact
0x1.00p+5,0x0,0x1.741af10264d82p+0,0x0, exact
0x1.08p+5,0x0,0x1.73facbc4c92c1p+0,0x0, exact
0x1.10p+5,0x0,0x1.73dd3c75ee1fdp+0,0x0, exact
0x1.18p+5,0x0,0x1.73c1fe2f6ebafp+0,0x0, exact
0x1.20p+5,0x0,0x1.73a8d4c013a37p+0,0x0, exact
0x1.28p+5,0x0,0x1.73918b6336abfp+0,0x0, exact
0x1.30p+5,0x0,0x1.737bf3af1dbb8p+0,0x0, exact
0x1.38p+5,0x0,0x1.7367e4b0137fbp+0,0x0, exact
0x1.40p+5,0x0,0x1.73553a2819a4ep+0,0x0, exact
0x1.48p+5,0x0,0x1.7343d3ecb0045p+0,0x0, exact
0x1.50p+5,0x0,0x1.7333955d7227cp+0,0x0, exact
0x1.58p+5,0x0,0x1.732464ef4d6c7p+0,0x0, exact
0x1.60p+5,0x0,0x1.73162bc8ddacbp+0,0x0, exact
0x1.68p+5,0x0,0x1.7308d56d20856p+0,0x0, exact
0x1.70p+5,0x0,0x1.72fc4f723116bp+0,0x0, exact
0x1.78p+5,0x0,0x1.72f089422682bp+0,0x0, exact
0x1.80p+5,0x0,0x1.72e573e483bacp+0,0x0, exact
0x1.88p+5,0x0,0x1.72db01ceeb902p+0,0x0, exact
0x1.90p+5,0x0,0x1.72d126bc03b72p+0,0x0, exact
0x1.98p+5,0x0,0x1.72c7d7879efb2p+0,0x0, exact
0x1.a0p+5,0x0,0x1.72bf0a0f6c4d1p+0,0x0, exact
0x1.a8p+5,0x0,0x1.72b6b517872ccp+0,0x0, exact
0x1.b0p+5,0x0,0x1.72aed0325f6c0p+0,0x0, exact
0x1.b8p+5,0x0,0x1.72a753ab83773p+0,0x0, exact
0x1.c0p+5,0x0,0x1.72a03874e9ec5p+0,0x0, exact
0x1.c8p+5,0x0,0x1.7299781666054p+0,0x0, exact
0x1.d0p+5,0x0,0x1.72930c9efeaf9p+0,0x0, exact
0x1.d8p+5,0x0,0x1.728cf097ea8abp+0,0x0, exact
0x1.e0p+5,0x0,0x1.72871ef8fbc4fp+0,0x0, exact
0x1.e8p+5,0x0,0x1.7281931e4e33ap+0,0x0, exact
0x1.f0p+5,0x0,0x1.727c48bf1044ap+0,0x0, exact
0x1.f8p+5,0x0,0x1.72773be544beap+0,0x0, exact
0x1.00p+6,0x0,0x1.727268e65fcb4p+0,0x0, exact
0x1.04p+6,0x0,0x1.726dcc5ca5a97p+0,0x0, exact
0x1.08p+6,0x0,0x1.7269632134b69p+0,0x0, exact
0x1.0cp+6,0x0,0x1.72652a46a756cp+0,0x0, exact
0x1.10p+6,0x0,0x1.72611f143cb8bp+0,0x0, exact
0x1.14p+6,0x0,0x1.725d3f01798d3p+0,0x0, exact
0x1.18p+6,0x0,0x1.725987b2339f3p+0,0x0, exact
0x1.1cp+6,0x0,0x1.7255f6f2fccd6p+0,0x0, exact
0x1.20p+6,0x0,0x1.72528ab5e3449p+0,0x0, exact
0x1.24p+6,0x0,0x1.724f410f7e0dcp+0,0x0, exact
0x1.28p+6,0x0,0x1.724c18343e090p+0,0x0, exact
0x1.2cp+6,0x0,0x1.72490e75fc5a5p+0,0x0, exact
0x1.30p+6,0x0,0x1.72462241c0144p+0,0x0, exact
0x1.34p+6,0x0,0x1.7243521db5a20p+0,0x0, exact
0x1.38p+6,0x0,0x1.72409ca753099p+0,0x0, exact
0x1.3cp+6,0x0,0x1.723e0091a4acfp+0,0x0, exact
0x1.40p+6,0x0,0x1.723b7ca3bea42p+0,0x0, exact
0x1.44p+6,0x0,0x1.72390fb74f389p+0,0x0, exact
0x1.48p+6,0x0,0x1.7236b8b74f660p+0,0x0, exact
0x1.4cp+6,0x0,0x1.7234769ece97ep+0,0x0, exact
0x1.50p+6,0x0,0x1.72324877d7248p+0,0x0, exact
0x1.54p+6,0x0,0x1.72302d5a6947cp+0,0x0, exact
0x1.58p+6,0x0,0x1.722e246b8a993p+0,0x0, exact
0x1.5cp+6,0x0,0x1.722c2cdc682d5p+0,0x0, exact
0x1.60p+6,0x0,0x1.722a45e989bdap+0,0x0, exact
0x1.64p+6,0x0,0x1.72286eda145f8p+0,0x0, exact
0x1.68p+6,0x0,0x1.7226a6ff1b724p+0,0x0, exact
0x1.6cp+6,0x0,0x1.7224edb2fe90bp+0,0x0, exact
0x1.70p+6,0x0,0x1.72234258d36d9p+0,0x0, exact
0x1.74p+6,0x0,0x1.7221a45bda9dep+0,0x0, exact
0x1.78p+6,0x0,0x1.7220132efe6a6p+0,0x0, exact
0x1.7cp+6,0x0,0x1.721e8e4c5ad75p+0,0x0, exact
0x1.80p+6,0x0,0x1.721d1534ce243p+0,0x0, exact
0x1.84p+6,0x0,0x1.721ba76f9116ap+0,0x0, exact
0x1.88p+6,0x0,0x1.721a4489d6729p+0,0x0, exact
0x1.8cp+6,0x0,0x1.7218ec16710f8p+0,0x0, exact
0x1.90p+6,0x0,0x1.72179dad8008ap+0,0x0, exact
0x1.94p+6,0x0,0x1.721658ec208e8p+0,0x0, exact
0x1.98p+6,0x0,0x1.72151d7424edfp+0,0x0, exact
0x1.9cp+6,0x0,0x1.7213eaebd0662p+0,0x0, exact
0x1.a0p+6,0x0,0x1.7212c0fd97741p+0,0x0, exact
0x1.a4p+6,0x0,0x1.72119f57e43cdp+0,0x0, exact
0x1.a8p+6,0x0,0x1.721085acdecb0p+0,0x0, exact
0x1.acp+6,0x0,0x1.720f73b238d73p+0,0x0, exact
0x1.b0p+6,0x0,0x1.720e6920fcdacp+0,0x0, exact
0x1.b4p+6,0x0,0x1.720d65b560308p+0,0x0, exact
0x1.b8p+6,0x0,0x1.720c692e980c7p+0,0x0, exact
0x1.bcp+6,0x0,0x1.720b734eb116fp+0,0x0, exact
0x1.c0p+6,0x0,0x1.720a83da697d3p+0,0x0, exact
0x1.c4p+6,0x0,0x1.72099a990d4adp+0,0x0, exact
0x1.c8p+6,0x0,0x1.7208b75454e54p+0,0x0, exact
0x1.ccp+6,0x0,0x1.7207d9d84583fp+0,0x0, exact
0x1.d0p+6,0x0,0x1.720701f31382ap+0,0x0, exact
0x1.d4p+6,0x0,0x1.72062f75066ecp+0,0x0, exact
0x1.d8p+6,0x0,0x1.720562305eb26p+0,0x0, exact
0x1.dcp+6,0x0,0x1.720499f93cc1dp+0,0x0, exact
0x1.e0p+6,0x0,0x1.7203d6a589b25p+0,0x0, exact
0x1.e4p+6,0x0,0x1.7203180ce1235p+0,0x0, exact
0x1.e8p+6,0x0,0x1.72025e087c63bp+0,0x0, exact
0x1.ecp+6,0x0,0x1.7201a8731ebfep+0,0x0, exact
0x1.f0p+6,0x0,0x1.7200f72902e5ap+0,0x0, exact
0x1.f4p+6,0x0,0x1.72004a07c94bep+0,0x0, exact
