0x1.8f84ef7530e19d68b54ca4bdabc6p+336,-0x1.1b5df947d0f65c930acec2e018dbp+338
0x1.46e0f4fbc48717ff2b3877e36edbp+344,0x1.597954302a672e01da4ed044d1d2p+345
-0x1.d0e1a6772990aaf3c88ff736ceafp+352,-0x1.51598befd0a7b2f24200966fb7e0p+351
0x1.2760754020e13f334c9974bb3521p+360,-0x1.10fb754b91d99fe2390eea4269edp+359
-0x1.30359678d939cb004c97c8f21c0fp+366,0x1.97e58d807d6f37ab5a1fcd947a39p+367
-0x1.e743a097663484b786e4dcfa9c8ep+373,-0x1.0dc436c9926165756831cdc0eabap+375
0x1.7dfed6697e84a48c974d4ef9e419p+382,0x1.245e4c2c116085201e4a229a4ad9p+381
-0x1.06a0dd5c58fd41b9e0c6daf90c98p+390,0x1.cfc3d55708e021d2b5f11c1e80f9p+388
0x1.2ae5c6d6ba1d592c510bb9e728b6p+396,-0x1.7d0c715e0edacf87b4ad7707debap+397
0x1.d5ca0949561d0a7bb5ca6ead2b0ap+403,0x1.10028960052709219c1d9c755de3p+405
-0x1.94188a53bbfce5bc19f9681d11d4p+412,-0x1.44765f879f8a303d68384d740f93p+411
0x1.2b2b0b2ce87b1f4e572b6f1d9fe0p+420,-0x1.f98e7629000a6a2c22a1e19385fbp+418
-0x1.75596b554d13301e3ab3fbc66703p+426,0x1.c6c3ce03ef309cfc3df11a96cf10p+427
-0x1.207908a67dcadb60a224e228bc28p+434,-0x1.5ccd21ef912df19378ce62c62777p+435
0x1.0f17f865fc5f07cd7cf84c95fe82p+443,0x1.c6a599c248d8ff1e311ff21396fbp+441
-0x1.ae634bf014a87d3af90695a690acp+450,0x1.5c89624c937d97ef291eef5d551ap+449
0x1.2483a33c59b296c785e1aa0c77a5p+457,-0x1.55db542a0cdae4c5c6fe04a11a22p+458
0x1.bd221c8ed9e9dd7e99d3be3281f0p+464,0x1.18948e3f01bd3fd832529f910df1p+466
-0x1.c745d3c63f0fe6c20b35a6c597f3p+473,-0x1.8d288fa65e7611078860363272cbp+472
0x1.8200ee052346d8d5655ebc60fe46p+481,-0x1.2c060e23c7b0f8b55d7c08564522p+480
-0x1.1c18d3c43b9e8ccf4ef023f38c16p+488,0x1.3fb3fc3f2f3fdfeb39e9ba9c0a4bp+489
-0x1.aa4782c819beeed512f9f33b9696p+495,-0x1.17c48cef481e3723fdd32fed745cp+497
0x1.d8dd472d584eff2541de3dfd44e0p+504,0x1.abb5169f18c085ab2b1e14d1fdb3p+503
-0x1.aabd00be96d1143d87c177b0dbacp+512,0x1.3ec3205f37c89636e2803e5080b2p+511
0x1.5260e952f1f5e05f3aeaf29a06d6p+519,-0x1.6fce19e752fb53d81ff5ad8943efp+520
0x1.f52aaf0d5c69838811ea16141bc9p+526,0x1.560a454826b90ae9d20102b44308p+528
-0x1.2c871230ab545f3a80907c6fb6fcp+536,-0x1.1907138de572cdef56dde707cca9p+535
0x1.1fc694ea973878138b2034fac5cep+544,-0x1.9dac0d71d5d80f77fdcd65223820p+542
-0x1.e9777df5b8145d4e23ecb39cb9fbp+550,0x1.01a5d0b6b557dfb8615498137002p+552
-0x1.661cbcc08b1de12136dfe9241addp+558,-0x1.fbb943e4690d8efe5c22a305290bp+559
0x1.cf019b5f76a91f26ce253b7f5b5cp+567,0x1.be7922f1f014c671ecc7395a4b50p+566
-0x1.d519460431e26281c866be7cf719p+575,0x1.44c8b2ec9108c099a5df807dcbb6p+574
0x1.aa2255d4d87815bf9b288a0702c2p+582,-0x1.b38dc018cafdaa0ed795de0b178fp+583
0x1.3444693b85db9c33298815b109a6p+590,0x1.c576dd142639a7b4966a3e9e6e21p+591
-0x1.ac869ead01e4205051afd54e264dp+599,-0x1.a92763df6a1d6355f4c9bc477085p+598
0x1.ca2d0e74c3a388316f3d49459ff0p+607,-0x1.31e6edcce027fab31b9aba1dacdep+606
-0x1.bafaa2c157db2ce5945d9a0bd119p+614,0x1.b885d2d4bc7abcc2c17f2d217147p+615
-0x1.3d0fbae3206eb8f4452d42329456p+622,-0x1.e369dc924abecba49b8513f840d0p+623
0x1.d8b9c84790376934775675c94e96p+631,0x1.e192e4d7db5a6235cf75e7342c26p+630
-0x1.0a0ee8f4ce61b97b0f53ffa17e0cp+640,0x1.56ef557a77bcb1b586c6e9483c75p+638
0x1.10e210b48fe1601d73744c957f38p+647,-0x1.088881159e83ae361f489a67fda3p+648
0x1.82ba3288e22aecc70fa1dcbde83fp+654,0x1.314591df5c2c6e13da28e17484dcp+656
-0x1.34824911640e76ef65ad2be96a17p+664,-0x1.421f544a39328f4ac74d8144b071p+663
0x1.6cccb312c3d9ddbfba9875acf4fcp+672,-0x1.c650667a8716f319cfef81a5044dp+670
-0x1.8bbef9ace7e76f0785a6172f2934p+679,0x1.769cff292f52318a573ba478df42p+680
-0x1.15c4cbc0fd04e23b078a24f4ce2ap+687,-0x1.c5a8df722ef6913ae97127a7776ep+688
0x1.d93d923eb64a36ffd7f765051202p+696,0x1.f99fba5887437faeaa41b8bfa928p+695
-0x1.2552fbfd2c0e97c3f14582df1576p+705,0x1.614557ee2cc2cbcfededd37c2563p+703
0x1.4fa93c5e9d2918eec3a4954ec975p+712,-0x1.36be7522aa722f2d761f38c901d9p+713
0x1.d2f42efbf6864447995dd9181975p+719,0x1.8a2250e096ea3127e0a6283f2921p+721
-0x1.a7ec3adb3816173ebe6b752bf44fp+729,-0x1.ceca9e02d30e577a5ee9c7b6efc2p+728
0x1.12f224519ffd8c2264c820725278p+738,-0x1.4081ef0c7b5afc91405d2b07ed0fp+736
-0x1.4b121b98508dc069dffaee98b8bcp+745,0x1.2c2b7966895b830f4d4d42c3aa0bp+746
-0x1.c89fc52fe76737be42430ac3bc17p+752,-0x1.8e081b4e934f89030eedf29de105p+754
0x1.b8f7f9c7a29826ebb475f3caa34ap+762,0x1.eb38e8981857437c1adb34c48b05p+761
-0x1.2abfaf004aef0a292dcbb56aede7p+771,0x1.515a5f6f5fa1c981009f742f335dp+769
0x1.79acc662b699efc3b0c0ba4efafdp+778,-0x1.4fc969ab16165ca69813efdf997ap+779
0x1.0252f4e00a2fcce20bf8802bdc51p+786,0x1.d0b8f95a1e25a362bc4b199403e0p+787
-0x1.08e78dfed719569c452131d66793p+796,-0x1.2cbf43e0d5ed1fe38f9a4b27e047p+795
0x1.7653bf37155c76db82ace2cdbd1ap+804,-0x1.99c99213dd1a3a5ac71b5c97f059p+802
-0x1.efca4455ea12fa52e2cb36b2f1b7p+811,0x1.b0c31d3001bf083a43b7f328a6eap+812
-0x1.5077e2e8381fa0a832c24dd0a916p+819,-0x1.38115236f28c8c96c80252a03309p+821
0x1.6dc91ef17cf21345c0c8239f6553p+829,0x1.a6c2fca159f88b8653f33956b912p+828
-0x1.0d1cf2fbd454a7d2d14fd18b6674p+838,0x1.1dd2f14c63b7ebc5fadd8213a312p+836
0x1.74b806eb9197554beed156a7af7fp+845,-0x1.3fbe9e9a62d8356b50d5add8bb0fp+846
0x1.f61ec0fd44e36045f71e54a0db01p+852,0x1.dfd709b8cf08e53539dea6900f3ap+854
-0x1.20e4f29266bf6ffd6d7089afa44ep+863,-0x1.538ffbc77e2e13c19199cc41e15ap+862
0x1.ba043e4535cb3762954a46b2ea11p+871,-0x1.c7ccd6c60822de9e042feed4c6a4p+869
-0x1.3f822d2f4c9c958b4309fcb21200p+879,0x1.0da699f2372675c2ef8f913c7736p+880
-0x1.ab5dc0ba7183808f73ebf15fa0d6p+886,-0x1.a47f64c8c920d38867a705592b8ap+888
0x1.03e04830fed1ea026a6829580790p+897,0x1.365910d6e94efbf30c3319a97d79p+896
-0x1.9ce7e3c142ed94b55a42f1523b4bp+905,0x1.9dadb8b6a20569585f6b7a863856p+903
0x1.370824db7c9f8e15fe2871864129p+913,-0x1.0279126145a01da0fc44b731e380p+914
0x1.9d303ddac8e6bac4fbd4fe136333p+920,0x1.a24ca8f6943a28bb647e3ace214bp+922
-0x1.092d721be6734eac21709c2369c0p+931,-0x1.4178c429eddb456fa7042b729137p+930
0x1.b4fbdac11209427c136aef99de45p+939,-0x1.a9a509dc5eef77d3cfac5cdf259dp+937
-0x1.56802df9da61a53842fbb0692ed2p+947,0x1.187ef09f43e3d5e1f893a1505080p+948
-0x1.c40540120873bf0326a33645ed09p+954,-0x1.d686d5f880473b3c8e8e47da854ep+956
0x1.31c374f3c08e4556d6847afdaa64p+965,0x1.77fb058a25c0e9dd5f96ef5aa9c6p+964
-0x1.04fcb7b1f8dd2634f12190b6781cp+974,0x1.eea292f730b5ec0b7bcc660f3830p+971
0x1.a913040ab0429a3e32225188ee42p+981,-0x1.575671c200f8c0b607715ae7e0efp+982
0x1.16beba7dc90e8518ba12ba3809f0p+989,0x1.2a27732e5ebc445a1df435bbe441p+991
-0x1.8cf5bd9b9afa9069d9d63dd83c8ap+999,-0x1.eebcff9abd907b65cc55eff83224p+998
0x1.5e9e70aaa1bff722416d38139deap+1008,-0x1.4371d69d8cf16a904271da45a9acp+1006
-0x1.28453cc64b09ae5f50d8159bad8cp+1016,0x1.d85de782d01d68fcd00861c2ad64p+1016
-0x1.823cae5621ae01e1a671a0161ab1p+1023,-0x1.a8409750106aa12469adc53db2d6p+1025
0x1.2124a30829b97a1d57801d143f63p+1034,0x1.6cff3889065e7d4ab645b88a0b95p+1033
-0x1.07fffcc6be08fae2ce99ebf12b6ep+1043,0x1.da74439de8ae8399639dd5ea8a8bp+1040
0x1.ce5bc97be9896ecbe7df1058f4dep+1050,-0x1.6c074353d8235f2f3a76decc766fp+1051
0x1.2ba7a289b0cfb8de046523380944p+1058,0x1.51cdf26ed199f79445e28f90b500p+1060
-0x1.d723ad55b2864467a44b6949908cp+1068,-0x1.2cff4d9c72d76b0ad8b97b2ff9afp+1068
0x1.bc3ca895a5c7c8e4040b6ef265f3p+1077,-0x1.851264c48eed0b82c9e2825bf08ap+1075
-0x1.92a94fbde91c5133fbca35e581d5p+1085,0x1.394d3aa5f9e6ad17151cafa88e3ep+1086
-0x1.0389741ab1b348a8f583db30d949p+1093,-0x1.2c18ddb0b2e9204f426722c8ea07p+1095
0x1.ac085dd838011868cf7cc9ac2dedp+1103,0x1.14a0963cc793845cd20d5c715df6p+1103
-0x1.a0668c13bd1ca15809a214f810a8p+1112,0x1.63a881584ab56e2507465f36a32dp+1110
0x1.863e588b53bd2e1e895016767322p+1120,-0x1.2c3f19736dfefabf15690c4bfde3p+1121
0x1.f46f9cd24fd14002106da32367a1p+1127,0x1.28962e2f0506eb724e3b9c614b2bp+1130
-0x1.b063d43c8ce4e32cb1f86b66a257p+1138,-0x1.1a85ea2c0beb16922bcd6e2bb82ap+1138
0x1.b19b11ddaa942fbb8586b43085c8p+1147,-0x1.69620e7e1c2b690b96682dd76c81p+1145
-0x1.a3b9bf4d6033cb2bd1ac2f01717dp+1155,0x1.3f7ea6a4a0c2464a37c1b6661973p+1156
-0x1.0bc752a7254e0a15aa3a838f6559p+1163,-0x1.4530c1690e75784c2e6f793b8b47p+1165
0x1.e459b4ad394a7f39c89ee4b78706p+1173,0x1.3fcb1828ef12fe86f70188a30791p+1173
-0x1.f443b17c107904ac653674cf4356p+1182,0x1.97102eb6a17e6360d49ca1fb0004p+1180
0x1.f3ad1c5442d7f60a8d74a511181cp+1190,-0x1.787fe79e8b9818523876e642640cp+1191
0x1.3d44f7ce0aabb26e944eafc87be7p+1198,0x1.8a888db40abc74769b4da42477c1p+1200
-0x1.2c091ca4daf05f59951605a7968ep+1209,-0x1.9027f227ece5c505ccc6ae46b438p+1208
0x1.3eec7ba96bc38bcf339e3c9ff961p+1218,-0x1.fafdd7d7e79be0fecda9ad860afdp+1215
-0x1.4864069db57372f5dfb3c639ad56p+1226,0x1.ea18d9ff3d6ce5727cc80a0805a5p+1226
-0x1.9f226110d1690386bec02b69fc13p+1233,-0x1.082ac6c615eca520bbcc55d72e35p+1236
0x1.9a1cebfb0f1c5fa4881f6ac524ecp+1244,0x1.14163b0550b248f7974246546891p+1244
-0x1.c04b1681c8bbe8b32485c6a4d91dp+1253,0x1.5c409922624af161a7b2339a359ap+1251
0x1.db71a7ee4e4c1ef774d090d7e596p+1261,-0x1.5f833eed4357232aa2d215bc0979p+1262
0x1.2b389d4ec9df2e3b7b18b807f978p+1269,0x1.858a8f79279172b2c08b140384acp+1271
-0x1.3482fae1bd4c56fc93a1bb1047bcp+1280,-0x1.a3269690bf0ff50e9878d6d3eaa9p+1279
0x1.5a8bd49259f2461bb8087ec1066cp+1289,-0x1.073ef02c77da8d3e7c706837517ap+1287
-0x1.7a3deacdad68d6a38d3d86a53dd6p+1297,0x1.15303acb8ef47dfab035f16d3172p+1298
-0x1.da259125ca8286e6843295a19f25p+1304,-0x1.3b8c95286169b20a818998d341fbp+1307
0x1.fdc20ee73aeed4176be6a3479462p+1315,0x1.5d49416c7c01faf6b6e4a757b7e6p+1315
-0x1.2601659da75a37f297d7572fa4c4p+1325,0x1.b4fcfb55f4c11fd1a676cae4a0cfp+1322
0x1.49fbc14f377e41b3d60b5bd53112p+1333,-0x1.df954ccaaec9285e170c2567bb41p+1333
0x1.9c0c8167ddc4fc7ae827b05669a6p+1340,0x1.183aa71e137e19c779e83fecea31p+1343
-0x1.cd85abbd26b6710acff308ed7392p+1351,-0x1.3eda724600d2d7180a6b3aae5578p+1351
0x1.112b0d2022b577c8990864191cb5p+1361,-0x1.8d68eabaf505fc057aacf8340edfp+1358
-0x1.3b0aea1fb6aba755dda32c3f3c4dp+1369,0x1.c63158c723b05b04df38a81f6ee9p+1369
-0x1.87f338160fb5be89897423d30ca7p+1376,-0x1.1044cee30cd7e75278e823e1c92ep+1379
0x1.c8fb8edde6acd235dd028aa25c04p+1387,0x1.3e3726e017113e02d23cd66559dep+1387
-0x1.15671cffe3b82a2a3189670b5c5dp+1397,0x1.8b33a4bd8d2fd8a5ecfff7177f29p+1394
0x1.488173285e2de12822e645ae71f7p+1405,-0x1.d5f7386ebc3b462bd6ae67bd4ebcp+1405
0x1.974911a3869e6b35368ada534c63p+1412,0x1.20d871d3542b6c02fee732ad77d8p+1415
-0x1.ede5cb3527d046aa272093a38914p+1423,-0x1.5a85ff455d334f68fb0c34768b75p+1423
0x1.334c81e325252c5db6a8c015eee0p+1433,-0x1.ace9b09fe037140361e03178e61ap+1430
-0x1.756a1414f9e5285ca8aa21f36556p+1441,0x1.0924d4f5b1180b29a8fdae7f244ep+1442
-0x1.cd749865c1be9b7ffe1e00ac82edp+1448,-0x1.4df66cd2ef03f1a2a193eed9b343p+1451
0x1.22c735ced2323b552ca34d7ccd9fp+1460,0x1.9afae73d15cadb7ea55022c5efa3p+1459
-0x1.72a9bb6b7a0cd86e334867cb505cp+1469,0x1.fb1692edb722d6df25db0b06176dp+1466
0x1.cde0911beeba652bd7a7128ea95dp+1477,-0x1.45a66e85fcf4a9c5901344d9d590p+1478
0x1.1c83c12c52f39389c99909f26dcep+1485,0x1.a40f1715e923b99f546b6ddc91c8p+1487
-0x1.745a8c3a5920914679361490e2e9p+1496,-0x1.08f67a37dc3b8bf7f5b6efd479e3p+1496
0x1.e5f4f71d9e2692cb344159f51e35p+1505,-0x1.45f4e0b24adf3b726c0806ce9e50p+1503
-0x1.36499f33f000e9d236959a39c745p+1514,0x1.b297cdd7ffae8f75cafab5c859d0p+1514
-0x1.7d2d619b313a4114e54cbcc0106fp+1521,-0x1.1ee4b9dc716bd56a031fcfcd5881p+1524
0x1.02d40f6d972c5ac4ef13d4a77dc0p+1533,0x1.72ce08798a3db6193d232ff6bd10p+1532
-0x1.59a90fa05cd2380a7514525c970ap+1542,0x1.c6e6984959bb4d033f5d87019367p+1539
0x1.c41b0c8629bd39b3200356b6d6d9p+1550,-0x1.3a9163481bac875c939af5715dadp+1551
0x1.14f4b83ecac49ff095e8cdfe8426p+1558,0x1.a8e17e06ab12697c8bb280358068p+1560
-0x1.86020b8efad0e78aa925612f991dp+1569,-0x1.1925641d9847e28ceddef71e009cp+1569
