-0x1.2ab5fb1e8e93f82c10a0ece569bbp+272,0x1.30e8764a61e74b2a0a06772fb15ep+273
-0x1.139f08b2af2d2d042b632946ded1p+279,-0x1.269be2c33fbbd1bc8dd600435a60p+279
0x1.c34ca9369104127de65064ee8253p+285,-0x1.71e05da59e77a14108dc4f04cb9dp+284
0x1.edaf0cad0a62ec1648ac245f5ad0p+286,0x1.2bc01b57bb60bd078831c6c82b7bp+292
-0x1.61bf414b6cb240bc4363d32f36a9p+298,-0x1.f07cd0ce9284b285d68c7ab5c164p+296
0x1.332d648209923b856fa3597edb65p+304,-0x1.6c390e226980a6426d0054cb9e4cp+304
0x1.2acdc3a54a310415f4f1e0a9b3d0p+310,0x1.0cff0ae3d598c6623d98071eea0bp+311
-0x1.8f9f0d54e5326f2333398976616dp+317,0x1.cef4df73e0c6b1840713a8edd534p+314
0x1.d47b45acd796cd677f7f390658f9p+321,-0x1.06aacf6e7d52c1bb732fdde93274p+324
0x1.303410cd3cb85b52dcd8449ba656p+330,0x1.90ce3003fb73bcbe5bde0e2bb1dap+329
-0x1.95f58f9049bd79efb0be01456b7bp+336,0x1.24f690945284f2c2c56b7e266266p+336
-0x1.69b5715b0b4079acb29544e6d24ap+341,-0x1.5144c9a7bb376ef1c98e1233c4abp+343
0x1.ebc8ce3ae16aebc06c8c1f7c8943p+349,0x1.8f832af633021c3af0d86c8985c2p+346
-0x1.3df6770f49c4588893b3166bed26p+355,0x1.3d6766729cacf3ab40cb724b0596p+356
-0x1.5e02ceec54eacb1f555cd9c021cdp+362,-0x1.7ccc4d8669070216e6d7ba55cd2bp+362
0x1.62da7784c03d3b8728cfee8b3eb3p+369,-0x1.1b96bd4aac429d5a0efcdc225422p+368
0x1.378fcddec1ab5c76ec1a211ed6bdp+370,0x1.1e3d22cd2008b1bdae9449cff61cp+376
-0x1.99111a6653bcefcd12e59ad3237ap+382,-0x1.27106c861223da8c7b6266bf99f6p+381
0x1.b40ea3e8303543748d880cd72e02p+388,-0x1.fc11151cfd76be4fc69517153340p+388
0x1.f3600d03ecdf5889a390c0049271p+394,0x1.cacf1c5643864cc75b74121771a9p+395
-0x1.9926080388b8e7ae686230c25692p+402,0x1.bd6c2a24d54eabaf29f424d19923p+399
0x1.2ad28111950e196714ce1f07c0fep+407,-0x1.42220f7aa4fa725aa60d2342d2fdp+409
0x1.bd7b820ce2214e4dccb6f0c45337p+415,0x1.2aed8cc0b2b4ddaa9e088d30bbd1p+415
-0x1.678ceaf7935f9fa54b577998e298p+422,0x1.fdc0a191e045c3aab5ac98a1fd95p+421
-0x1.6fd2a74b6e1f79abc8254963e91cp+427,-0x1.62e52c018a8effc5588c397c6097p+429
0x1.32e75016a8650d3a0cd894d945ebp+436,0x1.0e28b9329fb9f905bc2576d3ae74p+433
-0x1.df61a3c951c85741ee946f1b6f6fp+441,0x1.d4b4e9d26377a2716717a8cec158p+442
-0x1.3097b34881f7b3c4221c293851aap+449,-0x1.50faefd8d65062cec244477bbaa5p+449
0x1.71875da7eb4196be3275cc4bf19ap+456,-0x1.2037feb7f27a8e660af83e76313dp+455
0x1.873bc419d80ecdce08ed9f246650p+456,0x1.5e6c0752f92019766265fb0d5c34p+463
-0x1.25c5fec4d074c7c0eb5c2646689cp+470,-0x1.b2cdbe53f973c4c003b8c4d73b62p+468
0x1.74736c04e0877a032cb4d22aaa0bp+476,-0x1.aacb61cde4fdd05059b7e80fdd0dp+476
0x1.e7c3e1ce6f16c2d1512c19639c56p+482,0x1.c90a9f0cc222c295455c301686bcp+483
-0x1.db40ef10fa4d84b4c59aac7d232dp+490,0x1.e5b5895879ca7f6bbf1bdb200c62p+487
0x1.a325836ec60f2e2f79d4d4d819b6p+495,-0x1.b3a4a5bb5a06ac83bfb4b769b30ap+497
0x1.5ddd99a57ef5477d30386fca57e9p+504,0x1.ddd91c557689fb34bc182a47890cp+503
-0x1.4c454a81b87799b0b21983bc5b76p+511,0x1.cf01df28d6824b1e677c796a8548p+510
-0x1.7c454db24395fd57198a4a158b64p+516,-0x1.7b8e1845bad97dbdc02b0b525631p+518
0x1.7b74f86b7ad13a8225268becafefp+525,0x1.66e7d990aae3f108eec5b2877b39p+522
-0x1.5cc964c95787f1447ff5191bf469p+531,0x1.4e559730c9743dc1dbf6f919ab22p+532
-0x1.f3ca66088b8efc087d638ad485f5p+538,-0x1.18fbf41d420c62d5b067d4d81db0p+539
0x1.62125fdf01dd716c181042cadb2cp+546,-0x1.0d9fef4510fb1279f544cd50e597p+545
0x1.1426e1c09676d676485936229782p+543,0x1.81a455d4705916bf64dc87c5416ep+553
-0x1.72c482078cd4372668af014d7e46p+560,-0x1.1926a30279db4200e91e6aee8de2p+559
0x1.113d2e7f821fa4bd702357b85636p+567,-0x1.3419e0e80e485a11700a0ad07e6ep+567
0x1.909a37131526b1b191ca02135385p+573,0x1.7eb0474304c752153852017df3ebp+574
-0x1.c646dd7e33bdf3d6263501805fc8p+581,0x1.b2e2ae84d7dabdfbe78cfd2115f5p+578
0x1.d8de9a46489a66e3a9d14e2320b9p+586,-0x1.dad87214f51d94c4f1f93fd6eee0p+588
0x1.b2019c1bc24e33eb2b65ae131661p+595,0x1.2d7676f280f9610f5bde54643eb5p+595
-0x1.db498c2486a3686929fe223b6eb0p+602,0x1.459579e4f3448967de8d7a5ab06fp+602
-0x1.2a5c1e58997f6ec44b2b81001153p+608,-0x1.341f2bbd878d1213bcee51237ab7p+610
0x1.5d6762a0119dd5f3b0195e16891cp+617,0x1.60e48500f1ea2b59ffe9d9d5cfccp+614
