-0x1.0a7b9d3b3dceb8659f305a76f38cp-2,0x1.598a25fde632f278adb536e228b3p-4
0x1.a4a21961d1252ea6964475ce6ee3p+135,-0x1.42da35620070ff9533c1e6b7a117p+136
0x1.83f54c097a5409953857d47366d5p+139,-0x1.2581d7f2386b8c96287ce666a78bp+140
0x1.6bdf873c9d048f8e6f595d07d467p+143,-0x1.0f66efbe0adf7e5d7976c8319048p+144
0x1.5af59ffbd30e0f774e7bf8ee6256p+147,-0x1.fe60ebc22a05348e21bbefdc4c76p+147
0x1.503e8be742c56e3b0eaf3506393ap+151,-0x1.e7d69d94ea8d57606a09ac30dac0p+151
0x1.4b1af94a04e89bcaff03781d6223p+155,-0x1.d9e3b1a0e6b62f97d15a7aa7271bp+155
0x1.4b35cc4529b7c8f14566025e2ffcp+159,-0x1.d3b77d4d1cc4d8c3f5cb36a6a476p+159
0x1.507b5c6cd21b19f3a3340c0bf1fcp+163,-0x1.d4e79288814aac212eaa61400953p+163
0x1.5b1635992ae5d06d2ce8c68094c8p+167,-0x1.dd649299f6c39bf9ac68633a234fp+167
0x1.6b70cc8296bb64d3742b62c8c3a1p+171,-0x1.ed7696ff805cab5ebf5fa05e3694p+171
0x1.823c28e166a32a0078b14dcd1933p+175,-0x1.02e041dfca0652d249c4c822f471p+176
0x1.a07c1160cf57e200bbde217176fcp+179,-0x1.13a52f8e2a288f96a85511234e28p+180
0x1.c799dd86a6dec62b3c15252c6d46p+183,-0x1.29c9c6d0757a06457a2e9247f61bp+184
0x1.f97fcba6df300eb28323524844ccp+187,-0x1.4657554c18d8a564afb1f61ab7dcp+188
0x1.1c5fd754c4b658f2e1c9d8d3d7e0p+192,-0x1.6ab4e0f2a4f66e8a24c0a8476587p+192
0x1.44648dac4498616786111ea7e40bp+196,-0x1.98c38af3a82e7af5aaa134efc49ep+196
0x1.771a9028e6d6e69cf96646b415e3p+200,-0x1.d3064665d73fd6e21f1e92bb54cap+200
0x1.b7982780b2349e325b755ea9c221p+204,-0x1.0e6ca91cb30393f6b004b989cbdfp+205
0x1.0503f6e1ca041d2512a2c9d86b45p+209,-0x1.3d5ff338983d5913665fd50e7bdcp+209
