-0x1.59fe2d484e1af0cab9d1584abbc6p-2,0x1.177e8271e117a4281567ea0f7aa3p-5
0x1.dcbc9b0f05e5c27da70cfccf9483p+18,-0x1.ff043ac858aae79363472c5afd42p+19
0x1.aad2c35648e376ff1e66bcc42f77p+20,-0x1.d26150adee6cab181fb3663cfd48p+21
0x1.84cad10c628323b5158164974e37p+22,-0x1.b0ca852a6479b6c18fa57ccb2a27p+23
0x1.6839b0783005e09c1cd44696ae52p+24,-0x1.9842649eee7022c0478e0fbe52e8p+25
0x1.5365cc9569a377bd3e8fa1dce603p+26,-0x1.8762626564b1f47d190dd5aab804p+27
0x1.45194991dbf9ade513d7af08908ap+28,-0x1.7d37cf859f5a5ad314249a63352fp+29
0x1.3c833789bfe1106b399e171a7e97p+30,-0x1.792cbacc294c1f96221c190e67f0p+31
0x1.392355df3490c93fb5b03aa0d62ap+32,-0x1.7af993602b3bd44ac7b4a2b43e55p+33
0x1.3abd99987eca6a24efbb93617cf0p+34,-0x1.829d9d1d840a08bcc8126066704ep+35
0x1.4153c0657fc5de107d2f98a0425ap+36,-0x1.905d24a84efdfce511f090df5873p+37
0x1.4d2402b2244574f416615c698e19p+38,-0x1.a4c50ea4a1dba649b34b9f497ea9p+39
0x1.5eac94754a5977467476b2bb9471p+40,-0x1.c0b3f5273450b61830ff5005c6e2p+41
0x1.76b42f7722324933b299f816bc5dp+42,-0x1.e5699e816f709a60ebd7a0a524c0p+43
0x1.96586f494eea69ca7317d3834875p+44,-0x1.0a4f2305863be3677ddbc54260a5p+46
0x1.bf236b28efbd2e4a590c60d58b47p+46,-0x1.28520504d45574017aa751aa10e4p+48
0x1.f32acb6738c65084f32fadc2a8dfp+48,-0x1.4e4afba20b6f7aed591bb5b8d6adp+50
0x1.1a9dda34219372b04b0d99c17213p+51,-0x1.7e4ce236f1e7c054e8975dff2794p+52
0x1.448c391d403c7a02f37cc82906e3p+53,-0x1.bb1dcc723ce1513068fa0a4ef730p+54
0x1.79e788d2d5b7e06bfa5a2c0bfe99p+55,-0x1.043ba2c99a1020eeeb7602bcb263p+57
0x1.be19b03f4f6228d9e09c358d5147p+57,-0x1.35b057ffccb66e6c8b2266a95e04p+59
0x1.0ae2ebe1efba939f706f04c27c4fp+60,-0x1.755790efee3e24c97129b64ad1e4p+61
0x1.43a1bd34f0711f97abfe75eab8d5p+62,-0x1.c7ddbb4051fa6f8a45092f81bfcep+63
0x1.8da776071b27f6aba19251d99b01p+64,-0x1.19d9d5702274428c908797dac7b6p+66
0x1.ef042d841caac2a6af93a82d0e74p+66,-0x1.60e585fdeeef26af5633ea9e3f9ep+68
0x1.3819ba17fce65cc7e4f28afe41c0p+69,-0x1.bf5439d78cf6879940cbc5435b04p+70
0x1.8e962fcbd95348907d2a45c3af0ep+71,-0x1.1efd39e0027c54205ceae7377b0ap+73
0x1.01bcdcecc142a7f0fc5ef67afc1bp+74,-0x1.74b3a23b55b85e5ba96fbbdc2d7cp+75
0x1.517c3f41ed7c69420bee89e9d91dp+76,-0x1.e9ce7ed8f19712590741381e8d1ap+77
0x1.bf5cb346040bd63c3451d1396e3fp+78,-0x1.45a96471cf5165366512fb3db882p+80
0x1.2c1f3638a6e3ea4331b380aa4702p+81,-0x1.b61dec871cf058db45fe6d43764bp+82
0x1.9789c80b63b8579fd13d11aeda96p+83,-0x1.2a1c7f1868b9b48321c1e4c5c553p+85
0x1.17feaa63ee622810d87ec665c83ap+86,-0x1.9a5565d92c72f1d21027821e1d4dp+87
0x1.85432cbc3855c07150906aa9e346p+88,-0x1.1d988dea76323e6c920715e1921cp+90
0x1.11bb963a5dfbfc86d78ed6fd3a96p+91,-0x1.92010ef5b2430d1a4bcffc6d1737p+92
0x1.85686dfef74bb4ab275dc1a24cafp+93,-0x1.1e10043a6826e1c99894d83f4f17p+95
0x1.18213cf7eb5c1f123e900401f0fbp+96,-0x1.9b9427e9dc023684959dda0e9aa6p+97
0x1.979007798e1d7a9a5144b2beb577p+98,-0x1.2b4b06b30d5140e215009459f700p+100
0x1.2bc63d720edc86095cf81e1de02dp+101,-0x1.b7f348ca87a5f7acc4d9ed413e46p+102
0x1.bdd3832eba12921002970a3a0b8ap+103,-0x1.46c9c29dd1f2db520351cafa6025p+105
0x1.4f1d888ff1eaf7dd8b0f7ae38482p+106,-0x1.ea910126e9f68be4693b3ea8dd75p+107
0x1.fd332ddf8ef4c721935d80e5825fp+108,-0x1.740adf4e1ce6f8378d8e3f7f7d4bp+110
0x1.86f6a2d3b68646eab958bafcf1d4p+111,-0x1.1d0f37f282c9172fb9a6596963a8p+113
0x1.2f54cfc388553f2ad108b549e933p+114,-0x1.b9473a3f1be6f872ff3fc12c7cc3p+115
0x1.db913ae7785fae14fb935a5c1b8cp+116,-0x1.59004815190518d21d4d391e5500p+118
0x1.78a093a4647a932688c05816a4d0p+119,-0x1.106ccaf5a8c6b96419f110a638a2p+121
0x1.2d4cb7a8fe474c299097074fade4p+122,-0x1.b27d880d3e9dfdac272ac80e141fp+123
0x1.e6eb029c1986418b7c8c2116e638p+124,-0x1.5de14f87a1f50d9431005f097f53p+126
0x1.8d5a89800123fbf4e079a5682739p+127,-0x1.1c7b475270c6c06a667ab1a1b689p+129
0x1.4773b54da25fb2e934bef0fdf9b4p+130,-0x1.d31010f062fa35f5ed27d6a3bc24p+131
0x1.1078f879dd8bd5e5eebbd4ab48adp+133,-0x1.8310a39d9220ac5c4ea797efd881p+134
0x1.c9d062f7e887327d4c638d7adddap+135,-0x1.43cbe12c1b0713511285b8cc714cp+137
0x1.8447721a30745d180bee27c1fa8ep+138,-0x1.1166ff002e373668218d623c7d4fp+140
0x1.4c69453272f86266b51b4c545331p+141,-0x1.d1faff16f97d874c3779aceaeda6p+142
0x1.1f3d1fe4ee7e8bfc4d2b866d7da5p+144,-0x1.90bfba9dce8f7e0c5fb7f0e7747ap+145
0x1.f4ff78a0662ed77e47fb66aa70e2p+146,-0x1.5bc8f06f83957a6063e9675d1349p+148
0x1.b8ea3c82310746d3a7173c0ee21dp+149,-0x1.308adfee5fc2100501ef818b835dp+151
0x1.878db3b079c64f51dc3dad3a0806p+152,-0x1.0d0f69634d3759b8435e1f93e809p+154
0x1.5ed691ab46aee4db182c810da047p+155,-0x1.dfa2cee5ecf79c13489e2e5c273ep+156
0x1.3d2666c28e247f289559c4a7b868p+158,-0x1.af432907d10360581f8ab9e86677p+159
0x1.2138530ff8240c7a1a6b3203e192p+161,-0x1.8724c12502b8a9742382ec2309cfp+162
0x1.0a0c96ef51cc878cea87ed3ac112p+164,-0x1.65d1b51b16109b641182c9edea79p+165
0x1.edb26481a1d435990e7feff2fa74p+166,-0x1.4a22acecc5718ee4b60ddc5b1fd5p+168
0x1.cdfc880b86982a2f7b71bd703993p+169,-0x1.332db0f00c44892f6394cc1787bbp+171
0x1.b3fa6e98aa6dc66633342fd11202p+172,-0x1.203921a748553d98568a5158be1ep+174
0x1.9ee417d509f1701c41ba59e66aa1p+175,-0x1.10b1ca0d5ee64593917cd9aaf9acp+177
