-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.aa307ed59efd6375ac378feb0310p+76,-0x1.1f8e925725f1705f7196204fe22ap+78
0x1.86e3ea13f9eae3ba883c787add58p+79,-0x1.050859c079f4a020d81f9221461ep+81
0x1.6cd62be77e25b333d2ccea1b7995p+82,-0x1.e218b2943f92fb74efcd6ad156fdp+83
0x1.5a679beebee1daa02d164e307c9ap+85,-0x1.c4bfd56c27a6f088f8f59e79a35ap+86
0x1.4e7a652f453be2d042a2e403c74ep+88,-0x1.b04a9a89e0cc76379ecd6ef0b278p+89
0x1.4854dc499f37045e3da2280c5495p+91,-0x1.a38a695dde6367284d4dc53f999ap+92
0x1.478e7c66eee0f3e0ff3df8d938bep+94,-0x1.9dbfd96a80b629ff68373bce181dp+95
0x1.4c04c4124ea896281ae678589b92p+97,-0x1.9e87f36bffc3863e93ad9c2ab1bcp+98
0x1.55d64d5585c0b06238b3eab94f4ap+100,-0x1.a5d1d38b75ebbaa147a8de51ed15p+101
0x1.65634e6a28f9b90cf82bcf849fd6p+103,-0x1.b3db315c0143f00181a234eab474p+104
0x1.7b5357b8a9f341d17dd9619f4e6ap+106,-0x1.c9332ae56707bc8c0add9559aa6cp+107
0x1.98a0bc0c8c74b03837ea75f56398p+109,-0x1.e6c367101cfd113ae09d641514e0p+110
0x1.beaaafaeea12924660718a24f4b7p+112,-0x1.06f02a990769c1363c1494fd8e6ep+114
0x1.ef4fe933fa32cfac94c180864856p+115,-0x1.20310a411f59a81e710c19d87c4ap+117
0x1.168a42e5d58c4480e7c03547cdcfp+119,-0x1.40644106a02dc6a0baa39041ac05p+120
0x1.3daba2e55640df9924ffc7477920p+122,-0x1.69371810723931e8838bdd6913f4p+123
0x1.6f4e0b19d4d78701c027b9db4139p+125,-0x1.9ce7e676b2b4865b136304fabca2p+126
0x1.ae7a48b2ba0858c204f631f63007p+128,-0x1.de78008b02660c199c371a6c5f4ep+129
0x1.ff498bb99d0fde5926882454479ap+131,-0x1.18f8dcc9862020b431998f92ee70p+133
0x1.33a6be433f7bcdecc43884e2d7e1p+135,-0x1.4e657cfba4410fffa03d44bcc047p+136
0x1.771239ca385bf74bf8a2715b2188p+138,-0x1.93386fa071b2dc0ac6935e4b8a83p+139
0x1.cf26fb3719589bbfe333aa72d56fp+141,-0x1.ec875fa61f2b178ccae6b558d74dp+142
0x1.21975f33b260d99b9c3a45a67464p+145,-0x1.30aaf0422bfbb214f1db20d9ab83p+146
0x1.6eae21d01d8d0e3f91b921b8a324p+148,-0x1.7db1e7ab7a544bdd6afc28d604f1p+149
0x1.d60904e6e4a069571dc0739503c2p+151,-0x1.e42ce17df05831ddfab26b409448p+152
0x1.30f11f250d60592b25922b4c6a4cp+155,-0x1.36e0693c1d99bd56f55e122a2c15p+156
0x1.9071ba55b4560c58d71f528c2ab4p+158,-0x1.94146adc2e7c87c84da163dca9cap+159
0x1.0a0fb49a34be7f752e41594e43b6p+162,-0x1.09c6ad9196fbfc33513d451ce27dp+163
0x1.65b6746128ad9d37e30676f9920ap+165,-0x1.61c76e8a1693668a7d493f19fdc7p+166
0x1.e687aac3c51d9b4062b73b54a92bp+168,-0x1.dc7549cb45ad94aff2293f45077fp+169
0x1.4eabe6cf600a4061752457191521p+172,-0x1.44912d1c2f5f77e9c220bbc917dfp+173
0x1.d1a7c3f2e65805197629b74eb053p+175,-0x1.bf46044e34079f35f1e24e8272a6p+176
0x1.47972ff2b6b8f588756cdf85188ap+179,-0x1.37af070c15a98ebf41457639fabbp+180
0x1.d20aaa257f10b656a0f6475f2c36p+182,-0x1.b7453011c13ff8cdcc6dfe477815p+183
0x1.4f24df656954fb19bb69980a9ac8p+186,-0x1.38fa0efbbfd5cc896ef815787521p+187
0x1.e74247145c1914caf79c2dbf9b17p+189,-0x1.c2e193eb9867aa802dd0717e1b0bp+190
0x1.66035b22550e84c4ee046bce903fp+193,-0x1.484c9b71ce74a426e2a242bfe236p+194
0x1.09d876e246bede5c279a93adae97p+197,-0x1.e3384d6500ddc1c51e993bd73942p+197
0x1.8ef693150036b7a593558272f300p+200,-0x1.6766412a157bf91586de9a059a6ep+201
0x1.2e7bcaf0b9b2b1d19c29ca60fc99p+204,-0x1.0e1d7d62ef07b6a7394fb3ec5faep+205
0x1.cf64be9ee9aab729396c3af4b845p+207,-0x1.9a3e76ece6203b62b53dfd6c4acap+208
0x1.669183efd4fb02c2cffa3caa7a32p+211,-0x1.3abd306c1f127b7ddd394e2c9ea0p+212
0x1.184150c9ad91d9e49d5d26c91bd6p+215,-0x1.e7da3d4ff326d64235ee8c88a397p+215
0x1.ba779d92e77dc0501facb89641e2p+218,-0x1.7de6d0a7bb69aa13c8c9d925d708p+219
0x1.60bce4e4644c61e09b478b9c4e49p+222,-0x1.2df18f40870a604cd4766cbb8289p+223
0x1.1bf55949c168be8c90efd6a67c42p+226,-0x1.e22b179fef75bb0a0d3e9d2d2d75p+226
0x1.cd9cf1d83e14438d9171a33ff51bp+229,-0x1.84bf7c82b24e85093e92db88c03fp+230
0x1.7acf83e87be1b079a3fec3665d00p+233,-0x1.3c7690afaa6e858cc42a0e192c5cp+234
0x1.39d15750fd4dc46c044ad5163563p+237,-0x1.0416fcb847b6cbc3b295fa879b17p+238
0x1.066cdbd48bba27fef7f520ddfbc5p+241,-0x1.af93ed5589e26045206f9e69d9f2p+241
0x1.bafea6f2f9034ffae235db4ba7b4p+244,-0x1.696fb64610bea67eb8c4d155b9f1p+245
0x1.795cec087c29fe622890ba8ade07p+248,-0x1.31840035fcf3313e547f3014f4c3p+249
0x1.44667c57b40ab1630e91a240d44ap+252,-0x1.04a19b6ed5ec3bd2f2655a74db24p+253
0x1.19672d9f647ee07c90edc03a59acp+256,-0x1.c0c004d5391d0bd49362ac422e03p+256
0x1.ec9a3d40f7ff6029664126a5241cp+259,-0x1.85d39cdbaee7d0ef9e5865c5f794p+260
0x1.b30041927f5bb2d01c5e4aed5b93p+263,-0x1.55ae96a62ea323c1f2bcc693c45fp+264
0x1.8387ca56a827248b09cdb2efe27fp+267,-0x1.2e263c11d9c4861e9702c1dd5d78p+268
0x1.5c43dde0503638de0e9c8f554d60p+271,-0x1.0d8c4d6cd5798b7fd2f7f602477ap+272
0x1.3bb25754cb9cc1d2578898869931p+275,-0x1.e52274cbe1817fd078d9700a0e53p+275
0x1.20a35a611125b3cc856efc2ca452p+279,-0x1.b85bec48d848067444e800ea201dp+279
0x1.0a26dbdc0aa18b4f10dbefcd379ap+283,-0x1.9326b9e9255ced5e8d6999f72b82p+283
0x1.eefd57c46a8169c224d28bcf7b3fp+286,-0x1.743b68bc9326eaa23dde0b4472dbp+287
0x1.d027b854ed69410fa5b2a5d45949p+290,-0x1.5a966c734090eaba831054365c28p+291
0x1.b6dd58a9d01273f104a06ea65839p+294,-0x1.4569c29f2d09ad6b2edb4486453fp+295
0x1.a260bdea4a0ff4b78bd19d3d8a39p+298,-0x1.3411fe55efa86e7196e7b4455031p+299
0x1.921d0704760d8ab60997c11bd29bp+302,-0x1.260dea286cacc287d5addbe9ba0ep+303
0x1.859ebf47a59e2cf12db7b964bfe9p+306,-0x1.1af8242934781daf27692815f5c0p+307
